After 1000games:
Score=3248, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2432, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=964, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1396, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2564, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6564, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=764, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1820, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=664, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3308, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4320, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2200, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5140, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=764, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3468, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2144, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1420, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=704, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1416, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=704, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3560, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2500, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
