After 1000games:
Score=2520, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2080, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5436, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1740, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5472, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1744, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3260, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2652, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=7772, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3276, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2848, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3080, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2412, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3292, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2208, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1760, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1500, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1472, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1480, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1776, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1296, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2448, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3056, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1216, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2868, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1492, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2412, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3516, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=376, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1708, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1740, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=828, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2864, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1400, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1312, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1340, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3276, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1460, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2520, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=804, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3352, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2684, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3228, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2940, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2552, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1412, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1108, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2092, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5000, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5436, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3132, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3084, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4636, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=740, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1744, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2824, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2660, eFunc[terminal]=3.14126, aFunc[terminal]=3.14126, ratio=1
Score=1060, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2588, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2444, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1268, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2092, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2092, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3208, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3060, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1188, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2784, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1884, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3164, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3152, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1500, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1708, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1064, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1676, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1588, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2208, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2600, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1544, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2412, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2540, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1612, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3076, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2972, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1596, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=8932, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1308, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3660, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2092, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2976, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1476, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3196, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2208, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2548, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3540, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2552, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2196, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3208, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1460, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3160, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3504, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1492, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1052, eFunc[terminal]=5.76, aFunc[terminal]=5.76, ratio=1
Score=1504, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=988, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1484, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3072, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2688, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1340, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3060, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2412, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5436, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1460, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5108, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2976, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2652, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2820, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5108, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1492, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3124, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2520, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2088, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6436, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
